iter	Accuracy	Logloss
326	0.917	0.3311913054
327	0.917625	0.3306307605
328	0.917875	0.3300541931
329	0.918875	0.3295162503
330	0.91825	0.3285901197
331	0.91875	0.3280390286
332	0.92025	0.3272972815
333	0.920125	0.3267844775
334	0.921375	0.3259845838
335	0.922125	0.3252240516
336	0.922625	0.3246706079
337	0.923	0.3239004199
338	0.923	0.3233696564
339	0.924125	0.3228662382
340	0.92425	0.322451828
341	0.92525	0.3219972966
342	0.92625	0.3212883052
343	0.92675	0.3206296268
344	0.927125	0.3201422614
345	0.9285	0.3192947674
346	0.9285	0.3188906492
347	0.928875	0.3182399402
348	0.929125	0.3173109554
349	0.930375	0.3166986978
350	0.931375	0.3159117799
351	0.9325	0.3148345937
352	0.933375	0.3141684585
353	0.933625	0.3137448145
354	0.9345	0.3131580933
355	0.93475	0.3127274124
356	0.934875	0.3123129767
357	0.935375	0.3118675604
358	0.936	0.3113063674
359	0.9365	0.3107862289
360	0.93825	0.3099666277
361	0.938375	0.3094648225
362	0.93825	0.3087850253
363	0.938375	0.3083278719
364	0.939	0.3077975776
365	0.939625	0.3073370901
366	0.94	0.3066182662
367	0.940375	0.3060108333
368	0.940875	0.3053564558
369	0.9405	0.3048739435
370	0.940625	0.3043935555
371	0.9415	0.3038855842
372	0.94275	0.3032844632
373	0.943	0.302544836
374	0.943625	0.3017634385
375	0.944625	0.3012050825
376	0.945625	0.3005205828
377	0.945375	0.2999838657
378	0.945875	0.2996037045
379	0.94625	0.2991001607
380	0.94675	0.2986446711
381	0.94725	0.2980335882
382	0.948	0.2973931508
383	0.948625	0.2967603521
384	0.950125	0.2960469988
385	0.950875	0.2954611443
386	0.951125	0.2951220834
387	0.950625	0.294446826
388	0.950875	0.2937342522
389	0.9515	0.2928630392
390	0.95175	0.2924272235
391	0.95175	0.2919064602
392	0.952	0.2914418969
393	0.952375	0.2909051858
394	0.953	0.290389035
395	0.95325	0.2898212822
396	0.95375	0.2889706206
397	0.95475	0.288253764
398	0.956	0.2876447145
399	0.95675	0.2869408396
400	0.957125	0.2865213338
401	0.957375	0.286019298
402	0.957625	0.2853879634
403	0.957625	0.2848066165
404	0.958	0.284306014
405	0.95825	0.2837568121
406	0.95825	0.283504404
407	0.9585	0.2828084956
408	0.9595	0.2821259313
409	0.959375	0.281525626
410	0.96	0.2810798383
411	0.960625	0.2804367688
412	0.96075	0.2798078797
413	0.961125	0.2793048411
414	0.961625	0.2789505554
415	0.963	0.2780908855
416	0.9635	0.2776772662
417	0.963875	0.2770221594
418	0.964	0.2764655951
